text,class,date,aspect
Deixa a desejar no isolamento acústico dos quartos.,0,2024-04-25 00:00:00+00:00,Quarto
"Três horas depois, após várias tentativas de contato e sempre ouvindo ""espere um minutinho que nós iremos resolver"", liguei novamente para a recepção e a última resposta foi: ""Qual é o seu problema?"".",0,2024-07-15 22:41:52+00:00,Atendimento da equipe
Precisa de ... equipamentos mais modernos como um ar condicionado inverter,0,2025-02-21 00:00:00+00:00,Quarto
Faltou cordialidade,0,2024-07-08 00:00:00+00:00,Atendimento da equipe
Negativos: colchão mole e travesseiros desconfortáveis.,0,2024-08-14 00:00:00+00:00,Quarto
eles não me deram o quarto com uma cama de casal e uma de Solteiro assim Que entrei no hotel.,0,2025-02-17 10:47:32+00:00,Quarto
Guarda roupa escuro e pequeno,0,2024-01-12 12:23:11+00:00,Quarto
Deixa a desejar no isolamento acústico dos quartos.,0,2024-04-25 00:00:00+00:00,Quarto
eles não tiveram o bom senso em me ajudar,0,2024-07-18 12:16:00+00:00,Atendimento da equipe
Espera infinita pra liberar o quarto,0,2024-11-23 18:21:38+00:00,Atendimento da equipe
cama desconfortável,0,2025-08-03 00:00:00+00:00,Quarto
cama desconfortável,0,2025-08-03 00:00:00+00:00,Quarto
O COLCHÃO VC DEITA E ELE AFUNDA TENHO PROBLEMA NA COLUNA,0,2025-07-07 10:54:14+00:00,Quarto
Não consigo ser atendido na recepção (esperei 20 minutos em pé e desisti),0,2024-01-23 11:12:21+00:00,Atendimento da equipe
Se qier alguma coisa tem q pedir na recepção como sais de banho ou outras coisas q só chegam 2 horas depois qie vc já está dormindo .8,0,2025-07-15 06:06:00+00:00,Atendimento da equipe
porém muito escuro,0,2025-01-03 00:00:00+00:00,Quarto
O COLCHÃO VC DEITA E ELE AFUNDA TENHO PROBLEMA NA COLUNA,0,2025-07-07 10:54:14+00:00,Quarto
"A estrutura é um pouco antiga e merece ser modernizada, sobretudo TV, colchões e ar condicionado.",0,2025-02-19 18:40:26+00:00,Quarto
o quarto ainda não foi arrumado. Hoje 21.07 fomos a itaipu as 7:30 e retornamos 12:00 e o quarto não estava arrumado.,0,2024-07-21 15:35:36+00:00,Quarto
Não consigo ser atendido na recepção (esperei 20 minutos em pé e desisti),0,2024-01-23 11:12:21+00:00,Atendimento da equipe
"A estrutura é um pouco antiga e merece ser modernizada, sobretudo TV, colchões e ar condicionado.",0,2025-02-19 18:40:26+00:00,Quarto
O COLCHÃO VC DEITA E ELE AFUNDA TENHO PROBLEMA NA COLUNA,0,2025-07-07 10:54:14+00:00,Quarto
Poderia ter um menu de travesseiro e colchões mais firmes.,0,2024-08-14 00:00:00+00:00,Quarto
quartos proximo a rua bem barulhentos,0,2025-06-03 17:37:02+00:00,Quarto
Única coisa que deixou a desejar foram os móveis muito antigos,0,2024-06-25 00:00:00+00:00,Quarto
"A estrutura é um pouco antiga e merece ser modernizada, sobretudo TV, colchões e ar condicionado.",0,2025-02-19 18:40:26+00:00,Quarto
Guarda roupa escuro e pequeno,0,2024-01-12 12:23:11+00:00,Quarto
o quarto q eu fiquei bem antigo,0,2025-07-22 13:08:50+00:00,Quarto
"Ar condicionado sujo, antigo e barulhento",0,2025-08-03 00:00:00+00:00,Quarto
o quarto ainda não foi arrumado. Hoje 21.07 fomos a itaipu as 7:30 e retornamos 12:00 e o quarto não estava arrumado.,0,2024-07-21 15:35:36+00:00,Quarto
Poderia ter um menu de travesseiro e colchões mais firmes.,0,2024-08-14 00:00:00+00:00,Quarto
PEDI P TROCAR NINGUEM NEM DEU BOLA,0,2025-07-07 10:54:14+00:00,Atendimento da equipe
"Após uma longa viagem de moto, esperava encontrar um quarto aquecido. No entanto, ao perceber que o aquecedor não estava funcionando, solicitei apoio.",0,2024-07-15 22:41:52+00:00,Quarto
Colchão,0,2025-06-12 23:40:43+00:00,Quarto
o único ponto a melhorar seria os colchões que são antigos e muito mole,0,2024-11-23 00:00:00+00:00,Quarto
sugestão de melhoria nos colchões,0,2025-06-12 23:40:43+00:00,Quarto
Faltou comunicação,0,2024-07-08 00:00:00+00:00,Atendimento da equipe
Faltou cordialidade,0,2024-07-08 00:00:00+00:00,Atendimento da equipe
"As toalhas de banho e as cobertas estavam muito fedidas, parecia que um cachorro molhado tinha se enrolado nelas",0,2025-01-09 18:10:45+00:00,Quarto
"Um funcionário subiu, constatou o problema e prometeu resolver, mas nada foi feito.",0,2024-07-15 22:41:52+00:00,Atendimento da equipe
Poderia ter um menu de travesseiro e colchões mais firmes.,0,2024-08-14 00:00:00+00:00,Quarto
Só não dei 5 estrelas pois fiquei três pernoites e se esqueceram de fazer a limpeza do quarto.,0,2024-05-16 22:42:18+00:00,Quarto
"Três horas depois, após várias tentativas de contato e sempre ouvindo ""espere um minutinho que nós iremos resolver"", liguei novamente para a recepção e a última resposta foi: ""Qual é o seu problema?"".",0,2024-07-15 22:41:52+00:00,Atendimento da equipe
"A estrutura é um pouco antiga e merece ser modernizada, sobretudo TV, colchões e ar condicionado.",0,2025-02-19 18:40:26+00:00,Quarto
cama não era muito confortável,0,2025-03-04 00:00:00+00:00,Quarto
"Um funcionário subiu, constatou o problema e prometeu resolver, mas nada foi feito.",0,2024-07-15 22:41:52+00:00,Atendimento da equipe
Tive Que dormir a Primeira noite com minha filha entre eu e minha muller.,0,2025-02-17 10:47:32+00:00,Quarto
Guarda roupa escuro e pequeno,0,2024-01-12 12:23:11+00:00,Quarto
Limpeza 0. Sai as 7 da manhã  tomamos café e saim9s. Retornamos do passeio as 15. Nem limparam o quarto. As toalhas molhadas e lixeira cheia.isso no primeiro dia ... imagina o restante dos dias?!!,0,2024-07-19 00:00:00+00:00,Quarto
Deixa a desejar no isolamento acústico dos quartos.,0,2024-04-25 00:00:00+00:00,Quarto
O hotel não tinha gerente para resolver os problemas,0,2024-09-03 00:00:00+00:00,Atendimento da equipe
Copos de plástico (??) no frigobar.,0,2025-02-19 18:40:26+00:00,Quarto
PEDI P TROCAR NINGUEM NEM DEU BOLA,0,2025-07-07 10:54:14+00:00,Atendimento da equipe
"O ponto negativo fica para a acústica na parede que divide os quartos dentro dos banheiros, se escuta absolutamente tudo que se fala no quarto vizinho.",0,2024-07-10 00:00:00+00:00,Quarto
"Devido à forma como os funcionários do hotel trataram o problema do aquecedor do quarto, gostaria de expressar minha insatisfação.",0,2024-07-15 22:41:52+00:00,Atendimento da equipe
Limpeza 0. Sai as 7 da manhã  tomamos café e saim9s. Retornamos do passeio as 15. Nem limparam o quarto. As toalhas molhadas e lixeira cheia.isso no primeiro dia ... imagina o restante dos dias?!!,0,2024-07-19 00:00:00+00:00,Quarto
"No meu último dia, a camareira entrou no quarto sem bater.",0,2024-11-04 13:54:35+00:00,Atendimento da equipe
Não consigo ser atendido na recepção (esperei 20 minutos em pé e desisti),0,2024-01-23 11:12:21+00:00,Atendimento da equipe
"A estrutura é um pouco antiga e merece ser modernizada, sobretudo TV, colchões e ar condicionado.",0,2025-02-19 18:40:26+00:00,Quarto
só a limpeza do quarto podia melhorar,0,2024-01-13 15:07:09+00:00,Quarto
sugestão de melhoria nos colchões,0,2025-06-12 23:40:43+00:00,Quarto
"As toalhas de banho e as cobertas estavam muito fedidas, parecia que um cachorro molhado tinha se enrolado nelas",0,2025-01-09 18:10:45+00:00,Quarto
Tive Que dormir a Primeira noite com minha filha entre eu e minha muller.,0,2025-02-17 10:47:32+00:00,Quarto
Poderia ter um menu de travesseiro e colchões mais firmes.,0,2024-08-14 00:00:00+00:00,Quarto
eles não me deram o quarto com uma cama de casal e uma de Solteiro assim Que entrei no hotel.,0,2025-02-17 10:47:32+00:00,Quarto
"As toalhas de banho e as cobertas estavam muito fedidas, parecia que um cachorro molhado tinha se enrolado nelas",0,2025-01-09 18:10:45+00:00,Quarto
a suíte Master cheirando a mofo,0,2025-07-15 06:22:16+00:00,Quarto
"O ponto negativo fica para a acústica na parede que divide os quartos dentro dos banheiros, se escuta absolutamente tudo que se fala no quarto vizinho.",0,2024-07-10 00:00:00+00:00,Quarto
"Faltou comunicação e bom senso, visto que eram crianças comendo a pizza em mesas externas, que não eram do restaurante",0,2024-07-08 00:00:00+00:00,Atendimento da equipe
Se qier alguma coisa tem q pedir na recepção como sais de banho ou outras coisas q só chegam 2 horas depois qie vc já está dormindo .8,0,2025-07-15 06:06:00+00:00,Atendimento da equipe
"Devido à forma como os funcionários do hotel trataram o problema do aquecedor do quarto, gostaria de expressar minha insatisfação.",0,2024-07-15 22:41:52+00:00,Atendimento da equipe
porém muito escuro,0,2025-01-03 00:00:00+00:00,Quarto
Copos de plástico (??) no frigobar.,0,2025-02-19 18:40:26+00:00,Quarto
"A estrutura é um pouco antiga e merece ser modernizada, sobretudo TV, colchões e ar condicionado.",0,2025-02-19 18:40:26+00:00,Quarto
Tivemos um problema com a reserva do quarto na qual a Recepçao jogou a culpa no site de reserva.,0,2025-02-17 10:47:32+00:00,Atendimento da equipe
"Ponto negativo, apenas o check in, muito tardio as 15hs",0,2025-03-06 00:00:00+00:00,Atendimento da equipe
o único ponto a melhorar seria os colchões que são antigos e muito mole,0,2024-11-23 00:00:00+00:00,Quarto
Copos de plástico (??) no frigobar.,0,2025-02-19 18:40:26+00:00,Quarto
"Ponto negativo, apenas o check in, muito tardio as 15hs",0,2025-03-06 00:00:00+00:00,Atendimento da equipe
Precisa de ... equipamentos mais modernos como um ar condicionado inverter,0,2025-02-21 00:00:00+00:00,Quarto
O hotel não tinha gerente para resolver os problemas,0,2024-09-03 00:00:00+00:00,Atendimento da equipe
"No meu último dia, a camareira entrou no quarto sem bater.",0,2024-11-04 13:54:35+00:00,Atendimento da equipe
Poderia ter um menu de travesseiro e colchões mais firmes.,0,2024-08-14 00:00:00+00:00,Quarto
bolor perto da janela,0,2025-07-22 13:08:50+00:00,Quarto
luz dos quartos escuro,0,2025-08-03 00:00:00+00:00,Quarto
Se qier alguma coisa tem q pedir na recepção como sais de banho ou outras coisas q só chegam 2 horas depois qie vc já está dormindo .8,0,2025-07-15 06:06:00+00:00,Atendimento da equipe
"O ponto negativo fica para a acústica na parede que divide os quartos dentro dos banheiros, se escuta absolutamente tudo que se fala no quarto vizinho.",0,2024-07-10 00:00:00+00:00,Quarto
Achei alguns (poucos ) funcionários mau educados,0,2024-10-13 16:15:24+00:00,Atendimento da equipe
"só não gostei da fechadura ( pra fechar tem que bater a porta, e com isso meu vizinho me acordou as 7h da manhã por conta do barulho!)",0,2024-08-05 01:19:04+00:00,Quarto
Faltou cordialidade,0,2024-07-08 00:00:00+00:00,Atendimento da equipe
eles não me deram o quarto com uma cama de casal e uma de Solteiro assim Que entrei no hotel.,0,2025-02-17 10:47:32+00:00,Quarto
"O ponto negativo fica para a acústica na parede que divide os quartos dentro dos banheiros, se escuta absolutamente tudo que se fala no quarto vizinho.",0,2024-07-10 00:00:00+00:00,Quarto
Espera infinita pra liberar o quarto,0,2024-11-23 18:21:38+00:00,Atendimento da equipe
porém muito escuro,0,2025-01-03 00:00:00+00:00,Quarto
Guarda roupa escuro e pequeno,0,2024-01-12 12:23:11+00:00,Quarto
Faltou comunicação,0,2024-07-08 00:00:00+00:00,Atendimento da equipe
Eramos um casal e tinha 3 camas de solteiro e juntamos as camas mas entre elas ficava desconfortavel.,0,2024-11-18 20:02:42+00:00,Quarto
O hotel não tinha gerente para resolver os problemas,0,2024-09-03 00:00:00+00:00,Atendimento da equipe
"As toalhas de banho e as cobertas estavam muito fedidas, parecia que um cachorro molhado tinha se enrolado nelas",0,2025-01-09 18:10:45+00:00,Quarto
Não consigo ser atendido na recepção (esperei 20 minutos em pé e desisti),0,2024-01-23 11:12:21+00:00,Atendimento da equipe
O COLCHÃO VC DEITA E ELE AFUNDA TENHO PROBLEMA NA COLUNA,0,2025-07-07 10:54:14+00:00,Quarto
"No meu último dia, a camareira entrou no quarto sem bater.",0,2024-11-04 13:54:35+00:00,Atendimento da equipe
PEDI P TROCAR NINGUEM NEM DEU BOLA,0,2025-07-07 10:54:14+00:00,Atendimento da equipe
Eramos um casal e tinha 3 camas de solteiro e juntamos as camas mas entre elas ficava desconfortavel.,0,2024-11-18 20:02:42+00:00,Quarto
"No primeiro dia, não houve limpeza do meu quarto. Repito que o hotel estava cheio.",0,2025-03-10 00:00:00+00:00,Atendimento da equipe
Precisa de ... equipamentos mais modernos como um ar condicionado inverter,0,2025-02-21 00:00:00+00:00,Quarto
Faltou cordialidade,0,2024-07-08 00:00:00+00:00,Atendimento da equipe
Eramos um casal e tinha 3 camas de solteiro e juntamos as camas mas entre elas ficava desconfortavel.,0,2024-11-18 20:02:42+00:00,Quarto
precisei solicitar a limpeza e arrumação do quarto todos os dias,0,2025-07-12 00:00:00+00:00,Quarto
PEDI P TROCAR NINGUEM NEM DEU BOLA,0,2025-07-07 10:54:14+00:00,Atendimento da equipe
Tive Que dormir a Primeira noite com minha filha entre eu e minha muller.,0,2025-02-17 10:47:32+00:00,Quarto
Limpeza 0. Sai as 7 da manhã  tomamos café e saim9s. Retornamos do passeio as 15. Nem limparam o quarto. As toalhas molhadas e lixeira cheia.isso no primeiro dia ... imagina o restante dos dias?!!,0,2024-07-19 00:00:00+00:00,Quarto
O COLCHÃO VC DEITA E ELE AFUNDA TENHO PROBLEMA NA COLUNA,0,2025-07-07 10:54:14+00:00,Quarto
precisei solicitar a limpeza e arrumação do quarto todos os dias,0,2025-07-12 00:00:00+00:00,Quarto
Poderia ter um menu de travesseiro e colchões mais firmes.,0,2024-08-14 00:00:00+00:00,Quarto
eles não me deram o quarto com uma cama de casal e uma de Solteiro assim Que entrei no hotel.,0,2025-02-17 10:47:32+00:00,Quarto
O COLCHÃO VC DEITA E ELE AFUNDA TENHO PROBLEMA NA COLUNA,0,2025-07-07 10:54:14+00:00,Quarto
cama desconfortável,0,2025-08-03 00:00:00+00:00,Quarto
"Um funcionário subiu, constatou o problema e prometeu resolver, mas nada foi feito.",0,2024-07-15 22:41:52+00:00,Atendimento da equipe
"Faltou comunicação e bom senso, visto que eram crianças comendo a pizza em mesas externas, que não eram do restaurante",0,2024-07-08 00:00:00+00:00,Atendimento da equipe
eles não me deram o quarto com uma cama de casal e uma de Solteiro assim Que entrei no hotel.,0,2025-02-17 10:47:32+00:00,Quarto
a suíte Master cheirando a mofo,0,2025-07-15 06:22:16+00:00,Quarto
a suíte Master cheirando a mofo,0,2025-07-15 06:22:16+00:00,Quarto
o quarto q eu fiquei bem antigo,0,2025-07-22 13:08:50+00:00,Quarto
Toalhas e roupa de cama um pouco simples demais para a categoria do Hotel.,0,2025-02-19 18:40:26+00:00,Quarto
o único ponto a melhorar seria os colchões que são antigos e muito mole,0,2024-11-23 00:00:00+00:00,Quarto
Deixa a desejar no isolamento acústico dos quartos.,0,2024-04-25 00:00:00+00:00,Quarto
"No primeiro dia, não houve limpeza do meu quarto. Repito que o hotel estava cheio.",0,2025-03-10 00:00:00+00:00,Atendimento da equipe
sugestão de melhoria nos colchões,0,2025-06-12 23:40:43+00:00,Quarto
Tive Que dormir a Primeira noite com minha filha entre eu e minha muller.,0,2025-02-17 10:47:32+00:00,Quarto
Limpeza 0. Sai as 7 da manhã  tomamos café e saim9s. Retornamos do passeio as 15. Nem limparam o quarto. As toalhas molhadas e lixeira cheia.isso no primeiro dia ... imagina o restante dos dias?!!,0,2024-07-19 00:00:00+00:00,Quarto
eles não me deram o quarto com uma cama de casal e uma de Solteiro assim Que entrei no hotel.,0,2025-02-17 10:47:32+00:00,Quarto
"Ar condicionado sujo, antigo e barulhento",0,2025-08-03 00:00:00+00:00,Quarto
bolor perto da janela,0,2025-07-22 13:08:50+00:00,Quarto
o quarto q eu fiquei bem antigo,0,2025-07-22 13:08:50+00:00,Quarto
"só não gostei da fechadura ( pra fechar tem que bater a porta, e com isso meu vizinho me acordou as 7h da manhã por conta do barulho!)",0,2024-08-05 01:19:04+00:00,Quarto
Só não dei 5 estrelas pois fiquei três pernoites e se esqueceram de fazer a limpeza do quarto.,0,2024-05-16 22:42:18+00:00,Quarto
Espera infinita pra liberar o quarto,0,2024-11-23 18:21:38+00:00,Atendimento da equipe
O COLCHÃO VC DEITA E ELE AFUNDA TENHO PROBLEMA NA COLUNA,0,2025-07-07 10:54:14+00:00,Quarto
cama não era muito confortável,0,2025-03-04 00:00:00+00:00,Quarto
a suíte Master cheirando a mofo,0,2025-07-15 06:22:16+00:00,Quarto
Poderia ter um menu de travesseiro e colchões mais firmes.,0,2024-08-14 00:00:00+00:00,Quarto
porém muito escuro,0,2025-01-03 00:00:00+00:00,Quarto
o quarto ainda não foi arrumado. Hoje 21.07 fomos a itaipu as 7:30 e retornamos 12:00 e o quarto não estava arrumado.,0,2024-07-21 15:35:36+00:00,Quarto
Colchão,0,2025-06-12 23:40:43+00:00,Quarto
a suíte Master cheirando a mofo,0,2025-07-15 06:22:16+00:00,Quarto
precisei solicitar a limpeza e arrumação do quarto todos os dias,0,2025-07-12 00:00:00+00:00,Quarto
a suíte Master cheirando a mofo,0,2025-07-15 06:22:16+00:00,Quarto
cama não era muito confortável,0,2025-03-04 00:00:00+00:00,Quarto
"As toalhas de banho e as cobertas estavam muito fedidas, parecia que um cachorro molhado tinha se enrolado nelas",0,2025-01-09 18:10:45+00:00,Quarto
"O ponto negativo fica para a acústica na parede que divide os quartos dentro dos banheiros, se escuta absolutamente tudo que se fala no quarto vizinho.",0,2024-07-10 00:00:00+00:00,Quarto
"A estrutura é um pouco antiga e merece ser modernizada, sobretudo TV, colchões e ar condicionado.",0,2025-02-19 18:40:26+00:00,Quarto
precisei solicitar a limpeza e arrumação do quarto todos os dias,0,2025-07-12 00:00:00+00:00,Quarto
Toalhas e roupa de cama um pouco simples demais para a categoria do Hotel.,0,2025-02-19 18:40:26+00:00,Quarto
"No meu último dia, a camareira entrou no quarto sem bater.",0,2024-11-04 13:54:35+00:00,Atendimento da equipe
Só não dei 5 estrelas pois fiquei três pernoites e se esqueceram de fazer a limpeza do quarto.,0,2024-05-16 22:42:18+00:00,Quarto
"O ponto negativo fica para a acústica na parede que divide os quartos dentro dos banheiros, se escuta absolutamente tudo que se fala no quarto vizinho.",0,2024-07-10 00:00:00+00:00,Quarto
Deixa a desejar no isolamento acústico dos quartos.,0,2024-04-25 00:00:00+00:00,Quarto
Colchão,0,2025-06-12 23:40:43+00:00,Quarto
Limpeza 0. Sai as 7 da manhã  tomamos café e saim9s. Retornamos do passeio as 15. Nem limparam o quarto. As toalhas molhadas e lixeira cheia.isso no primeiro dia ... imagina o restante dos dias?!!,0,2024-07-19 00:00:00+00:00,Quarto
Faltou cordialidade,0,2024-07-08 00:00:00+00:00,Atendimento da equipe
Faltou cordialidade,0,2024-07-08 00:00:00+00:00,Atendimento da equipe
"No meu último dia, a camareira entrou no quarto sem bater.",0,2024-11-04 13:54:35+00:00,Atendimento da equipe
o único ponto a melhorar seria os colchões que são antigos e muito mole,0,2024-11-23 00:00:00+00:00,Quarto
o ar condicionado que precisava de limpeza interna e já estava bem velhinho.,0,2025-08-07 11:22:37+00:00,Quarto
"Um funcionário subiu, constatou o problema e prometeu resolver, mas nada foi feito.",0,2024-07-15 22:41:52+00:00,Atendimento da equipe
Quarto com cheiro de mofo,0,2024-09-30 14:28:22+00:00,Quarto
Deixa a desejar no isolamento acústico dos quartos.,0,2024-04-25 00:00:00+00:00,Quarto
"Após uma longa viagem de moto, esperava encontrar um quarto aquecido. No entanto, ao perceber que o aquecedor não estava funcionando, solicitei apoio.",0,2024-07-15 22:41:52+00:00,Quarto
"Três horas depois, após várias tentativas de contato e sempre ouvindo ""espere um minutinho que nós iremos resolver"", liguei novamente para a recepção e a última resposta foi: ""Qual é o seu problema?"".",0,2024-07-15 22:41:52+00:00,Atendimento da equipe
Quarto com cheiro de mofo,0,2024-09-30 14:28:22+00:00,Quarto
Copos de plástico (??) no frigobar.,0,2025-02-19 18:40:26+00:00,Quarto
quartos proximo a rua bem barulhentos,0,2025-06-03 17:37:02+00:00,Quarto
cama não era muito confortável,0,2025-03-04 00:00:00+00:00,Quarto
Espera infinita pra liberar o quarto,0,2024-11-23 18:21:38+00:00,Atendimento da equipe
Deixa a desejar no isolamento acústico dos quartos.,0,2024-04-25 00:00:00+00:00,Quarto
Eramos um casal e tinha 3 camas de solteiro e juntamos as camas mas entre elas ficava desconfortavel.,0,2024-11-18 20:02:42+00:00,Quarto
Faltou cordialidade,0,2024-07-08 00:00:00+00:00,Atendimento da equipe
Negativos: colchão mole e travesseiros desconfortáveis.,0,2024-08-14 00:00:00+00:00,Quarto
Precisa de ... equipamentos mais modernos como um ar condicionado inverter,0,2025-02-21 00:00:00+00:00,Quarto
Se qier alguma coisa tem q pedir na recepção como sais de banho ou outras coisas q só chegam 2 horas depois qie vc já está dormindo .8,0,2025-07-15 06:06:00+00:00,Atendimento da equipe
o ar condicionado que precisava de limpeza interna e já estava bem velhinho.,0,2025-08-07 11:22:37+00:00,Quarto
Quarto com cheiro de mofo,0,2024-09-30 14:28:22+00:00,Quarto
Tive Que dormir a Primeira noite com minha filha entre eu e minha muller.,0,2025-02-17 10:47:32+00:00,Quarto
"Um funcionário subiu, constatou o problema e prometeu resolver, mas nada foi feito.",0,2024-07-15 22:41:52+00:00,Atendimento da equipe
o quarto ainda não foi arrumado. Hoje 21.07 fomos a itaipu as 7:30 e retornamos 12:00 e o quarto não estava arrumado.,0,2024-07-21 15:35:36+00:00,Quarto
sugestão de melhoria nos colchões,0,2025-06-12 23:40:43+00:00,Quarto
"A estrutura é um pouco antiga e merece ser modernizada, sobretudo TV, colchões e ar condicionado.",0,2025-02-19 18:40:26+00:00,Quarto
o único ponto a melhorar seria os colchões que são antigos e muito mole,0,2024-11-23 00:00:00+00:00,Quarto
Eramos um casal e tinha 3 camas de solteiro e juntamos as camas mas entre elas ficava desconfortavel.,0,2024-11-18 20:02:42+00:00,Quarto
Não consigo ser atendido na recepção (esperei 20 minutos em pé e desisti),0,2024-01-23 11:12:21+00:00,Atendimento da equipe
Tivemos um problema com a reserva do quarto na qual a Recepçao jogou a culpa no site de reserva.,0,2025-02-17 10:47:32+00:00,Atendimento da equipe
sugestão de melhoria nos colchões,0,2025-06-12 23:40:43+00:00,Quarto
sugestão de melhoria nos colchões,0,2025-06-12 23:40:43+00:00,Quarto
Poderia ter um menu de travesseiro e colchões mais firmes.,0,2024-08-14 00:00:00+00:00,Quarto
Poderia ter um menu de travesseiro e colchões mais firmes.,0,2024-08-14 00:00:00+00:00,Quarto
só a limpeza do quarto podia melhorar,0,2024-01-13 15:07:09+00:00,Quarto
quartos proximo a rua bem barulhentos,0,2025-06-03 17:37:02+00:00,Quarto
cama desconfortável,0,2025-08-03 00:00:00+00:00,Quarto
Só não dei 5 estrelas pois fiquei três pernoites e se esqueceram de fazer a limpeza do quarto.,0,2024-05-16 22:42:18+00:00,Quarto
sugestão de melhoria nos colchões,0,2025-06-12 23:40:43+00:00,Quarto
PEDI P TROCAR NINGUEM NEM DEU BOLA,0,2025-07-07 10:54:14+00:00,Atendimento da equipe
Deixa a desejar no isolamento acústico dos quartos.,0,2024-04-25 00:00:00+00:00,Quarto
o quarto q eu fiquei bem antigo,0,2025-07-22 13:08:50+00:00,Quarto
precisei solicitar a limpeza e arrumação do quarto todos os dias,0,2025-07-12 00:00:00+00:00,Quarto
Colchão,0,2025-06-12 23:40:43+00:00,Quarto
"Três horas depois, após várias tentativas de contato e sempre ouvindo ""espere um minutinho que nós iremos resolver"", liguei novamente para a recepção e a última resposta foi: ""Qual é o seu problema?"".",0,2024-07-15 22:41:52+00:00,Atendimento da equipe
o ar condicionado que precisava de limpeza interna e já estava bem velhinho.,0,2025-08-07 11:22:37+00:00,Quarto
"No primeiro dia, não houve limpeza do meu quarto. Repito que o hotel estava cheio.",0,2025-03-10 00:00:00+00:00,Atendimento da equipe
"A estrutura é um pouco antiga e merece ser modernizada, sobretudo TV, colchões e ar condicionado.",0,2025-02-19 18:40:26+00:00,Quarto
Deixa a desejar no isolamento acústico dos quartos.,0,2024-04-25 00:00:00+00:00,Quarto
Tivemos um problema com a reserva do quarto na qual a Recepçao jogou a culpa no site de reserva.,0,2025-02-17 10:47:32+00:00,Atendimento da equipe
eles não me deram o quarto com uma cama de casal e uma de Solteiro assim Que entrei no hotel.,0,2025-02-17 10:47:32+00:00,Quarto
Colchão,0,2025-06-12 23:40:43+00:00,Quarto
Limpeza 0. Sai as 7 da manhã  tomamos café e saim9s. Retornamos do passeio as 15. Nem limparam o quarto. As toalhas molhadas e lixeira cheia.isso no primeiro dia ... imagina o restante dos dias?!!,0,2024-07-19 00:00:00+00:00,Quarto
cama não era muito confortável,0,2025-03-04 00:00:00+00:00,Quarto
o quarto q eu fiquei bem antigo,0,2025-07-22 13:08:50+00:00,Quarto
"Um funcionário subiu, constatou o problema e prometeu resolver, mas nada foi feito.",0,2024-07-15 22:41:52+00:00,Atendimento da equipe
o único ponto a melhorar seria os colchões que são antigos e muito mole,0,2024-11-23 00:00:00+00:00,Quarto
Poderia ter um menu de travesseiro e colchões mais firmes.,0,2024-08-14 00:00:00+00:00,Quarto
O COLCHÃO VC DEITA E ELE AFUNDA TENHO PROBLEMA NA COLUNA,0,2025-07-07 10:54:14+00:00,Quarto
Faltou cordialidade,0,2024-07-08 00:00:00+00:00,Atendimento da equipe
"Ponto negativo, apenas o check in, muito tardio as 15hs",0,2025-03-06 00:00:00+00:00,Atendimento da equipe
Quarto com cheiro de mofo,0,2024-09-30 14:28:22+00:00,Quarto
Quarto com cheiro de mofo,0,2024-09-30 14:28:22+00:00,Quarto
O COLCHÃO VC DEITA E ELE AFUNDA TENHO PROBLEMA NA COLUNA,0,2025-07-07 10:54:14+00:00,Quarto
"No primeiro dia, não houve limpeza do meu quarto. Repito que o hotel estava cheio.",0,2025-03-10 00:00:00+00:00,Atendimento da equipe
